event_id,commence_time,api_home_team,api_away_team,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,market,regions,last_update,fetched_at,snapshot_type,target_round,capture_reason
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,matchbook,h2h,theoddsapi,2026-08-15T22:45:57Z,2026-08-15T22:46:01Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:01.134502+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,betfair_ex_eu,h2h,theoddsapi,2026-08-15T22:45:56Z,2026-08-15T22:46:01Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:01.134502+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.66,4.25,1.6,pinnacle,h2h,theoddsapi,2026-08-15T22:46:36Z,2026-08-15T22:46:56Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:56.773987+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,matchbook,h2h,theoddsapi,2026-08-15T22:46:37Z,2026-08-15T22:46:56Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:56.773987+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,betfair_ex_eu,h2h,theoddsapi,2026-08-15T22:46:37Z,2026-08-15T22:46:56Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:56.773987+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.46,4.17,1.63,pinnacle,h2h,theoddsapi,2026-08-15T22:50:23Z,2026-08-15T22:50:39Z,close,4,pre-kickoff close tick @ 2026-08-15T22:50:39.058390+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.3,1.66,matchbook,h2h,theoddsapi,2026-08-15T22:50:23Z,2026-08-15T22:50:39Z,close,4,pre-kickoff close tick @ 2026-08-15T22:50:39.058390+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.6,4.3,1.66,betfair_ex_eu,h2h,theoddsapi,2026-08-15T22:50:03Z,2026-08-15T22:50:39Z,close,4,pre-kickoff close tick @ 2026-08-15T22:50:39.058390+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.59,4.55,5.29,pinnacle,h2h,theoddsapi,2026-08-16T00:50:26Z,2026-08-16T00:50:42Z,close,4,pre-kickoff close tick @ 2026-08-16T00:50:42.507557+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.57,4.9,6.0,betfair_ex_eu,h2h,theoddsapi,2026-08-16T00:50:07Z,2026-08-16T00:50:42Z,close,4,pre-kickoff close tick @ 2026-08-16T00:50:42.507557+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.54,4.9,6.2,matchbook,h2h,theoddsapi,2026-08-16T00:50:26Z,2026-08-16T00:50:42Z,close,4,pre-kickoff close tick @ 2026-08-16T00:50:42.507557+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.51,4.82,6.0,pinnacle,h2h,theoddsapi,2026-08-16T00:55:29Z,2026-08-16T00:55:40Z,close,4,pre-kickoff close tick @ 2026-08-16T00:55:40.766090+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.55,4.9,6.2,betfair_ex_eu,h2h,theoddsapi,2026-08-16T00:55:29Z,2026-08-16T00:55:40Z,close,4,pre-kickoff close tick @ 2026-08-16T00:55:40.766090+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.55,4.9,6.2,matchbook,h2h,theoddsapi,2026-08-16T00:55:29Z,2026-08-16T00:55:40Z,close,4,pre-kickoff close tick @ 2026-08-16T00:55:40.766090+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.51,4.82,6.0,pinnacle,h2h,theoddsapi,2026-08-16T01:01:09Z,2026-08-16T01:01:23Z,close,4,pre-kickoff close tick @ 2026-08-16T01:01:23.721772+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.54,4.9,6.2,betfair_ex_eu,h2h,theoddsapi,2026-08-16T01:01:10Z,2026-08-16T01:01:23Z,close,4,pre-kickoff close tick @ 2026-08-16T01:01:23.721772+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.56,4.9,6.2,matchbook,h2h,theoddsapi,2026-08-16T01:01:09Z,2026-08-16T01:01:23Z,close,4,pre-kickoff close tick @ 2026-08-16T01:01:23.721772+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.24,3.25,2.4,pinnacle,h2h,theoddsapi,2026-08-16T02:50:39Z,2026-08-16T02:50:41Z,close,4,pre-kickoff close tick @ 2026-08-16T02:50:41.266881+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.4,3.3,2.42,betfair_ex_eu,h2h,theoddsapi,2026-08-16T02:50:20Z,2026-08-16T02:50:41Z,close,4,pre-kickoff close tick @ 2026-08-16T02:50:41.266881+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.4,3.3,2.42,matchbook,h2h,theoddsapi,2026-08-16T02:50:37Z,2026-08-16T02:50:41Z,close,4,pre-kickoff close tick @ 2026-08-16T02:50:41.266881+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.25,3.24,2.4,pinnacle,h2h,theoddsapi,2026-08-16T02:55:35Z,2026-08-16T02:55:39Z,close,4,pre-kickoff close tick @ 2026-08-16T02:55:39.779761+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.4,3.3,2.42,betfair_ex_eu,h2h,theoddsapi,2026-08-16T02:55:34Z,2026-08-16T02:55:39Z,close,4,pre-kickoff close tick @ 2026-08-16T02:55:39.779761+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.4,3.3,2.42,matchbook,h2h,theoddsapi,2026-08-16T02:55:33Z,2026-08-16T02:55:39Z,close,4,pre-kickoff close tick @ 2026-08-16T02:55:39.779761+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.25,3.24,2.4,pinnacle,h2h,theoddsapi,2026-08-16T03:00:46Z,2026-08-16T03:01:24Z,close,4,pre-kickoff close tick @ 2026-08-16T03:01:24.897053+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.4,3.3,2.44,betfair_ex_eu,h2h,theoddsapi,2026-08-16T03:01:08Z,2026-08-16T03:01:24Z,close,4,pre-kickoff close tick @ 2026-08-16T03:01:24.897053+00:00
a7be0ab225101d04e57623db1c008722,2026-08-16T03:10:00Z,Atlas,Tigres,Atlas,Tigres UANL,3.4,3.3,2.44,matchbook,h2h,theoddsapi,2026-08-16T03:01:08Z,2026-08-16T03:01:24Z,close,4,pre-kickoff close tick @ 2026-08-16T03:01:24.897053+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.91,3.58,4.33,pinnacle,h2h,theoddsapi,2026-08-16T17:40:36Z,2026-08-16T17:40:38Z,close,4,pre-kickoff close tick @ 2026-08-16T17:40:38.286162+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.98,3.8,4.2,betfair_ex_eu,h2h,theoddsapi,2026-08-16T17:40:37Z,2026-08-16T17:40:38Z,close,4,pre-kickoff close tick @ 2026-08-16T17:40:38.286162+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.8,4.2,matchbook,h2h,theoddsapi,2026-08-16T17:40:36Z,2026-08-16T17:40:38Z,close,4,pre-kickoff close tick @ 2026-08-16T17:40:38.286162+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.95,3.6,4.07,pinnacle,h2h,theoddsapi,2026-08-16T17:43:37Z,2026-08-16T17:43:39Z,close,4,pre-kickoff close tick @ 2026-08-16T17:43:39.269169+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.8,4.2,betfair_ex_eu,h2h,theoddsapi,2026-08-16T17:43:18Z,2026-08-16T17:43:39Z,close,4,pre-kickoff close tick @ 2026-08-16T17:43:39.269169+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.75,4.2,matchbook,h2h,theoddsapi,2026-08-16T17:43:38Z,2026-08-16T17:43:39Z,close,4,pre-kickoff close tick @ 2026-08-16T17:43:39.269169+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.95,3.6,4.07,pinnacle,h2h,theoddsapi,2026-08-16T17:45:55Z,2026-08-16T17:45:56Z,close,4,pre-kickoff close tick @ 2026-08-16T17:45:56.293911+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.8,4.1,betfair_ex_eu,h2h,theoddsapi,2026-08-16T17:45:36Z,2026-08-16T17:45:56Z,close,4,pre-kickoff close tick @ 2026-08-16T17:45:56.293911+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.8,4.2,matchbook,h2h,theoddsapi,2026-08-16T17:45:56Z,2026-08-16T17:45:56Z,close,4,pre-kickoff close tick @ 2026-08-16T17:45:56.293911+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.95,3.6,4.07,pinnacle,h2h,theoddsapi,2026-08-16T17:50:37Z,2026-08-16T17:50:40Z,close,4,pre-kickoff close tick @ 2026-08-16T17:50:40.611957+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.8,4.1,betfair_ex_eu,h2h,theoddsapi,2026-08-16T17:50:37Z,2026-08-16T17:50:40Z,close,4,pre-kickoff close tick @ 2026-08-16T17:50:40.611957+00:00
6cd28b94358f76169506c1db9814beda,2026-08-16T18:00:00Z,Pumas,Querétaro,UNAM Pumas,Queretaro,1.99,3.8,4.2,matchbook,h2h,theoddsapi,2026-08-16T17:50:37Z,2026-08-16T17:50:40Z,close,4,pre-kickoff close tick @ 2026-08-16T17:50:40.611957+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.89,3.71,4.22,pinnacle,h2h,theoddsapi,2026-08-16T22:40:34Z,2026-08-16T22:40:41Z,close,4,pre-kickoff close tick @ 2026-08-16T22:40:41.074955+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.96,3.7,4.4,betfair_ex_eu,h2h,theoddsapi,2026-08-16T22:40:14Z,2026-08-16T22:40:41Z,close,4,pre-kickoff close tick @ 2026-08-16T22:40:41.074955+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.95,3.7,4.4,matchbook,h2h,theoddsapi,2026-08-16T22:40:33Z,2026-08-16T22:40:41Z,close,4,pre-kickoff close tick @ 2026-08-16T22:40:41.074955+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.97,3.64,3.96,pinnacle,h2h,theoddsapi,2026-08-16T22:45:40Z,2026-08-16T22:45:56Z,close,4,pre-kickoff close tick @ 2026-08-16T22:45:56.966310+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.97,3.7,4.3,betfair_ex_eu,h2h,theoddsapi,2026-08-16T22:45:21Z,2026-08-16T22:45:56Z,close,4,pre-kickoff close tick @ 2026-08-16T22:45:56.966310+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.96,3.7,4.3,matchbook,h2h,theoddsapi,2026-08-16T22:45:40Z,2026-08-16T22:45:56Z,close,4,pre-kickoff close tick @ 2026-08-16T22:45:56.966310+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.97,3.64,3.96,pinnacle,h2h,theoddsapi,2026-08-16T22:46:38Z,2026-08-16T22:46:49Z,close,4,pre-kickoff close tick @ 2026-08-16T22:46:49.018100+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.98,3.65,4.3,betfair_ex_eu,h2h,theoddsapi,2026-08-16T22:46:37Z,2026-08-16T22:46:49Z,close,4,pre-kickoff close tick @ 2026-08-16T22:46:49.018100+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.97,3.7,4.3,matchbook,h2h,theoddsapi,2026-08-16T22:46:37Z,2026-08-16T22:46:49Z,close,4,pre-kickoff close tick @ 2026-08-16T22:46:49.018100+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.97,3.64,3.96,pinnacle,h2h,theoddsapi,2026-08-16T22:50:27Z,2026-08-16T22:50:41Z,close,4,pre-kickoff close tick @ 2026-08-16T22:50:41.536923+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.98,3.65,4.3,betfair_ex_eu,h2h,theoddsapi,2026-08-16T22:50:30Z,2026-08-16T22:50:41Z,close,4,pre-kickoff close tick @ 2026-08-16T22:50:41.536923+00:00
f8a01df8259218cbc47a4410c265061d,2026-08-16T23:00:00Z,América,Atlético San Luis,Club America,Atletico San Luis,1.97,3.7,4.3,matchbook,h2h,theoddsapi,2026-08-16T22:50:28Z,2026-08-16T22:50:41Z,close,4,pre-kickoff close tick @ 2026-08-16T22:50:41.536923+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.65,4.63,1.55,pinnacle,h2h,theoddsapi,2026-08-17T00:50:45Z,2026-08-17T00:50:48Z,close,4,pre-kickoff close tick @ 2026-08-17T00:50:48.885999+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.6,4.7,1.61,betfair_ex_eu,h2h,theoddsapi,2026-08-17T00:50:27Z,2026-08-17T00:50:48Z,close,4,pre-kickoff close tick @ 2026-08-17T00:50:48.885999+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.6,4.7,1.61,matchbook,h2h,theoddsapi,2026-08-17T00:50:46Z,2026-08-17T00:50:48Z,close,4,pre-kickoff close tick @ 2026-08-17T00:50:48.885999+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.65,4.63,1.55,pinnacle,h2h,theoddsapi,2026-08-17T00:55:32Z,2026-08-17T00:55:41Z,close,4,pre-kickoff close tick @ 2026-08-17T00:55:41.232679+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.6,4.7,1.6,betfair_ex_eu,h2h,theoddsapi,2026-08-17T00:55:35Z,2026-08-17T00:55:41Z,close,4,pre-kickoff close tick @ 2026-08-17T00:55:41.232679+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.6,4.7,1.61,matchbook,h2h,theoddsapi,2026-08-17T00:55:33Z,2026-08-17T00:55:41Z,close,4,pre-kickoff close tick @ 2026-08-17T00:55:41.232679+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.49,4.55,1.57,pinnacle,h2h,theoddsapi,2026-08-17T01:00:57Z,2026-08-17T01:00:59Z,close,4,pre-kickoff close tick @ 2026-08-17T01:00:59.258181+00:00
291aa40dff62365f4529502d6d2d2e5f,2026-08-17T01:10:00Z,Santos Laguna,Guadalajara,Santos Laguna,Guadalajara,5.6,4.8,1.6,betfair_ex_eu,h2h,theoddsapi,2026-08-17T01:00:39Z,2026-08-17T01:00:59Z,close,4,pre-kickoff close tick @ 2026-08-17T01:00:59.258181+00:00
